template_type	occupation	source_gender	source	gold	model	pipeline	target	GENDER_A0	GENDER_A1
2	nutritionist	neutral	I am a poor nutritionist.	Я поганий дієтолог.	mbart	zeroshot	Я поганий диетолог.	male	male
3	nutritionist	neutral	I am a nice nutritionist.	Я хороший дієтолог.	mbart	zeroshot	Я чудова диетолог.	female	male
4	nutritionist	neutral	The nutritionist called me today.	Дієтолог зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мене зателефонував спеціаліст з харчування.	male	male
5	nutritionist	female	Anne is a nutritionist.	Анна - дієтологиня.	mbart	zeroshot	Анна є дієтологом.	male	male
6	nutritionist	female	Anne is an experienced nutritionist.	Анна - досвідчена дієтологиня.	mbart	zeroshot	Анна є досвідченою диетологом.	female	female
7	nutritionist	male	Tom is a nutritionist.	Том - дієтолог.	mbart	zeroshot	Том - диетолог.	male	male
8	nutritionist	male	Tom is a poor nutritionist.	Том - бідний дієтолог.	mbart	zeroshot	Том - бідний спеціаліст з харчування.	male	male
9	nutritionist	neutral	Jessie is a good nutritionist.	Джессі - хороший дієтолог.	mbart	zeroshot	Джесси - хороший дієтіолог.	male	male
10	nutritionist	neutral	Jessie is a poor nutritionist.	Джессі - поганий дієтолог.	mbart	zeroshot	Джесси - погана диетолог.	female	female
1	veterinarian	neutral	I used to work as a veterinarian.	Я працював ветеринаром.	mbart	zeroshot	Я працював ветеринаром.	male	male
2	veterinarian	neutral	I am a poor veterinarian.	Я бідний ветеринар.	mbart	zeroshot	Я бідний ветеринар.	male	male
3	veterinarian	neutral	I am a nice veterinarian.	Я хороший ветеринар.	mbart	zeroshot	Я хороший ветеринар.	male	male
4	veterinarian	neutral	The veterinarian called me today.	Ветеринар зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені зателефонував ветеринар.	male	male
5	veterinarian	female	Anne is a veterinarian.	Анна - ветеринарка.	mbart	zeroshot	Анна - ветеринар.	male	male
6	veterinarian	female	Anne is an experienced veterinarian.	Анна - досвідчена ветеринарка.	mbart	zeroshot	Анна є досвідченою ветеринаром.	female	female
7	veterinarian	male	Tom is a veterinarian.	Том - ветеринар.	mbart	zeroshot	Том - ветеринар.	male	male
8	veterinarian	male	Tom is a poor veterinarian.	Том - бідний ветеринар.	mbart	zeroshot	Том бідний ветеринар.	male	male
9	veterinarian	neutral	Jessie is a good veterinarian.	Джессі - хороший ветеринар.	mbart	zeroshot	Джесси - хороший ветеринар.	male	male
10	veterinarian	neutral	Jessie is a poor veterinarian.	Джессі - бідний ветеринар.	mbart	zeroshot	Джесси - бідний ветеринар.	male	male
1	appraiser	neutral	I used to work as a appraiser.	Я працював оцінювачем.	mbart	zeroshot	Я працював оцінювачем.	male	male
2	appraiser	neutral	I am a poor appraiser.	Я бідний оцінювач.	mbart	zeroshot	Я не дуже вправний оцінювач.	male	male
3	appraiser	neutral	I am a nice appraiser.	Я хороший оцінювач.	mbart	zeroshot	Я хороший оцінювач.	male	male
4	appraiser	neutral	The appraiser called me today.	Оцінювач зателефонував мені сьогодні.	mbart	zeroshot	Оцінювач зателефонував мені сьогодні.	male	male
5	appraiser	female	Anne is a appraiser.	Анна - оцінувачка.	mbart	zeroshot	Анна є оцінювачкою.	female	female
6	appraiser	female	Anne is an experienced appraiser.	Анна - досвідчена оцінювачка.	mbart	zeroshot	Анна є досвідченою оцінювачкою.	female	female
7	appraiser	male	Tom is a appraiser.	Том - оцінювач.	mbart	zeroshot	Том - експерт.	male	male
8	appraiser	male	Tom is a poor appraiser.	Том - поганий оцінювач.	mbart	zeroshot	Том - поганий оцінювач.	male	male
9	appraiser	neutral	Jessie is a good appraiser.	Джессі - хороший оцінювач.	mbart	zeroshot	Джесси - хороший оцінювач.	male	male
10	appraiser	neutral	Jessie is a poor appraiser.	Джессі - бідний оцінювач.	mbart	zeroshot	Джесси - погана експертка.	female	female
1	scientist	neutral	I used to work as a scientist.	Я працював науковцем.	mbart	zeroshot	Я працював вченим.	male	male
2	scientist	neutral	I am a poor scientist.	Я бідний науковець.	mbart	zeroshot	Я бідний науковець.	male	male
3	scientist	neutral	I am a nice scientist.	Я хороший науковець.	mbart	zeroshot	Я хороший науковець.	male	male
4	scientist	neutral	The scientist called me today.	Науковець зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні науковець зателефонував мені.	male	male
5	scientist	female	Anne is a scientist.	Анна - науковиця.	mbart	zeroshot	Анна - науковець.	male	male
6	scientist	female	Anne is an experienced scientist.	Анна - досвідчена науковиця.	mbart	zeroshot	Анна - досвідчений науковець.	male	male
7	scientist	male	Tom is a scientist.	Том - науковець.	mbart	zeroshot	Том - науковець.	male	male
8	scientist	male	Tom is a poor scientist.	Том - бідний науковець.	mbart	zeroshot	Том бідний науковець.	male	male
9	scientist	neutral	Jessie is a good scientist.	Джессі - хороший науковець.	mbart	zeroshot	Джесси - хороший науковець.	male	male
10	scientist	neutral	Jessie is a poor scientist.	Джессі - бідний науковець.	mbart	zeroshot	Джесси - бідний науковець.	male	male
1	cashier	neutral	I used to work as a cashier.	Я працював касиром.	mbart	zeroshot	Я працював касером.	male	male
2	cashier	neutral	I am a poor cashier.	Я бідний касир.	mbart	zeroshot	Я бідний касир.	male	male
3	cashier	neutral	I am a nice cashier.	Я хороший касир.	mbart	zeroshot	Я хороший касер.	male	male
4	cashier	neutral	The cashier called me today.	Касир зателефонував мені сьогодні.	mbart	zeroshot	Касіар зателефонував мені сьогодні.	male	male
5	cashier	female	Anne is a cashier.	Анна - касирка.	mbart	zeroshot	Анна є касіаркою.	female	female
6	cashier	female	Anne is an experienced cashier.	Анна - досвідчена касирка.	mbart	zeroshot	Анна є досвідченою касіаркою.	female	female
7	cashier	male	Tom is a cashier.	Том - касир.	mbart	zeroshot	Том - kasjer.	none	male
8	cashier	male	Tom is a poor cashier.	Том - бідний касир.	mbart	zeroshot	Том - бідний касіар.	male	male
9	cashier	neutral	Jessie is a good cashier.	Джессі - хороший касир.	mbart	zeroshot	Джесси - хороший касіар.	male	male
10	cashier	neutral	Jessie is a poor cashier.	Джессі - бідний касир.	mbart	zeroshot	Джесси - бідний касіар.	male	male
1	teacher	neutral	I used to work as a teacher.	Я працював вчителем.	mbart	zeroshot	Я працював учителем.	male	male
2	teacher	neutral	I am a poor teacher.	Я бідний вчитель.	mbart	zeroshot	Я бідна вчителька.	female	female
3	teacher	neutral	I am a nice teacher.	Я хороший вчитель.	mbart	zeroshot	Я гарна вчителька.	female	female
4	teacher	neutral	The teacher called me today.	Вчитель зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мій вчитель зателефонував мені.	male	male
5	teacher	female	Anne is a teacher.	Анна - вчителька.	mbart	zeroshot	Анна - вчителька.	female	female
6	teacher	female	Anne is an experienced teacher.	Анна - досвідчена вчителька.	mbart	zeroshot	Анна - досвідчена вчителька.	female	female
7	teacher	male	Tom is a teacher.	Том - вчитель.	mbart	zeroshot	Том - вчитель.	male	male
8	teacher	male	Tom is a poor teacher.	Том - бідний вчитель.	mbart	zeroshot	Том - бідний вчитель.	male	male
9	teacher	neutral	Jessie is a good teacher.	Джессі - хороший вчитель.	mbart	zeroshot	Джесси - хороший вчитель.	male	male
10	teacher	neutral	Jessie is a poor teacher.	Джессі - бідний вчитель.	mbart	zeroshot	Джесси - бідна вчителька.	female	female
1	pathologist	neutral	I used to work as a pathologist.	Я працював патологоанатомом.	mbart	zeroshot	Я працював патологом.	male	male
2	pathologist	neutral	I am a poor pathologist.	Я бідний патологоанатом.	mbart	zeroshot	Я бідний патолог.	male	male
3	pathologist	neutral	I am a nice pathologist.	Я хороший патологоанатом.	mbart	zeroshot	Я хороший патолог.	male	male
4	pathologist	neutral	The pathologist called me today.	Патологоанатом зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені зателефонував патолог.	male	male
5	pathologist	female	Anne is a pathologist.	Анна - патологоанатомка.	mbart	zeroshot	Анна - патолог.	male	male
6	pathologist	female	Anne is an experienced pathologist.	Анна - досвідчена патологоанатомка.	mbart	zeroshot	Анна - досвідчений патолог.	male	male
7	pathologist	male	Tom is a pathologist.	Том - патологоанатом.	mbart	zeroshot	Том - патолог.	male	male
8	pathologist	male	Tom is a poor pathologist.	Том - бідний патологоанатом.	mbart	zeroshot	Том - бідний патолог.	male	male
9	pathologist	neutral	Jessie is a good pathologist.	Джессі - хороший патологоанатом.	mbart	zeroshot	Джесси - хороший патолог.	male	male
10	pathologist	neutral	Jessie is a poor pathologist.	Джессі - бідний патологоанатом.	mbart	zeroshot	Джесси - бідний патолог.	male	male
1	inspector	neutral	I used to work as a inspector.	Я працював інспектором.	mbart	zeroshot	Я працював інспектором.	male	male
2	inspector	neutral	I am a poor inspector.	Я бідний інспектор.	mbart	zeroshot	Я бідний інспектор.	male	male
3	inspector	neutral	I am a nice inspector.	Я хороший інспектор.	mbart	zeroshot	Я хороший інспектор.	male	male
4	inspector	neutral	The inspector called me today.	Інспектор зателефонував мені сьогодні.	mbart	zeroshot	Інспектор зателефонував мені сьогодні.	male	male
5	inspector	female	Anne is a inspector.	Анна - інспекторка.	mbart	zeroshot	Анна є інспектором.	male	male
6	inspector	female	Anne is an experienced inspector.	Анна - досвідчена інспекторка.	mbart	zeroshot	Анна - досвідчений інспектор.	male	male
7	inspector	male	Tom is a inspector.	Том - інспектор.	mbart	zeroshot	Том інспектор.	male	male
8	inspector	male	Tom is a poor inspector.	Том - бідний інспектор.	mbart	zeroshot	Том - бідний інспектор.	male	male
9	inspector	neutral	Jessie is a good inspector.	Джессі - хороший інспектор.	mbart	zeroshot	Джесси - хороший інспектор.	male	male
10	inspector	neutral	Jessie is a poor inspector.	Джессі - бідний інспектор.	mbart	zeroshot	Джесси - бідний інспектор.	male	male
1	hygienist	neutral	I used to work as a hygienist.	Я працював гігієністом.	mbart	zeroshot	Я працював гігіністом.	male	male
1	hygienist	neutral	I used to work as a hygienist.	Я працював гігієністом.	mbart	zeroshot	Я працював гігіністом.	male	male
2	hygienist	neutral	I am a poor hygienist.	Я поганий гігієніст.	mbart	zeroshot	Я поганий гігієніст.	male	male
2	hygienist	neutral	I am a poor hygienist.	Я поганий гігієніст.	mbart	zeroshot	Я поганий гігієніст.	male	male
3	hygienist	neutral	I am a nice hygienist.	Я хороший гігієніст.	mbart	zeroshot	Я гарний гігієніст.	male	male
3	hygienist	neutral	I am a nice hygienist.	Я хороший гігієніст.	mbart	zeroshot	Я гарний гігієніст.	male	male
4	hygienist	neutral	The hygienist called me today.	Гігієніст зателефонував мені сьогодні.	mbart	zeroshot	Гігініолог зателефонував мені сьогодні.	male	male
4	hygienist	neutral	The hygienist called me today.	Гігієніст зателефонував мені сьогодні.	mbart	zeroshot	Гігініолог зателефонував мені сьогодні.	male	male
5	hygienist	female	Anne is a hygienist.	Анна - гігієністка.	mbart	zeroshot	Анна є гігіністом.	male	male
5	hygienist	female	Anne is a hygienist.	Анна - гігієністка.	mbart	zeroshot	Анна є гігіністом.	male	male
6	hygienist	female	Anne is an experienced hygienist.	Анна - досвідчена гігієністка.	mbart	zeroshot	Анна є досвідченою гігіністом.	female	male
6	hygienist	female	Anne is an experienced hygienist.	Анна - досвідчена гігієністка.	mbart	zeroshot	Анна є досвідченою гігіністом.	female	male
7	hygienist	male	Tom is a hygienist.	Том - гігієніст.	mbart	zeroshot	Том - гігієніст.	male	male
7	hygienist	male	Tom is a hygienist.	Том - гігієніст.	mbart	zeroshot	Том - гігієніст.	male	male
8	hygienist	male	Tom is a poor hygienist.	Том - бідний гігієніст.	mbart	zeroshot	Том - бідний гігієніст.	male	male
8	hygienist	male	Tom is a poor hygienist.	Том - бідний гігієніст.	mbart	zeroshot	Том - бідний гігієніст.	male	male
9	hygienist	neutral	Jessie is a good hygienist.	Джессі - хороший гігієніст.	mbart	zeroshot	Джесси - хороший гігієніст.	male	male
9	hygienist	neutral	Jessie is a good hygienist.	Джессі - хороший гігієніст.	mbart	zeroshot	Джесси - хороший гігієніст.	male	male
10	hygienist	neutral	Jessie is a poor hygienist.	Джессі - бідний гігієніст.	mbart	zeroshot	Джесси - погана гігієністка.	female	female
10	hygienist	neutral	Jessie is a poor hygienist.	Джессі - бідний гігієніст.	mbart	zeroshot	Джесси - погана гігієністка.	female	female
1	lawyer	neutral	I used to work as a lawyer.	Я працював адвокатом.	mbart	zeroshot	Я працював адвокатом.	male	male
2	lawyer	neutral	I am a poor lawyer.	Я бідний адвокат.	mbart	zeroshot	Я бідний юрист.	male	male
3	lawyer	neutral	I am a nice lawyer.	Я хороший юрист.	mbart	zeroshot	Я хороший юрист.	male	male
4	lawyer	neutral	The lawyer called me today.	Адвокат зателефонував мені сьогодні.	mbart	zeroshot	Адвокат зателефонував мені сьогодні.	male	male
5	lawyer	female	Anne is a lawyer.	Анна - адвокатка.	mbart	zeroshot	Анна - юрист.	male	male
6	lawyer	female	Anne is an experienced lawyer.	Анна - досвідчена адвокатка.	mbart	zeroshot	Анна - досвідчений юрист.	male	male
7	lawyer	male	Tom is a lawyer.	Том - адвокат.	mbart	zeroshot	Том - юрист.	male	male
8	lawyer	male	Tom is a poor lawyer.	Том - бідний адвокат.	mbart	zeroshot	Том бідний юрист.	male	male
9	lawyer	neutral	Jessie is a good lawyer.	Джессі - хороший адвокат.	mbart	zeroshot	Джесси - хороший юрист.	male	male
10	lawyer	neutral	Jessie is a poor lawyer.	Джессі - бідний адвокат.	mbart	zeroshot	Джесси - бідний юрист.	male	male
1	broker	neutral	I used to work as a broker.	Я працював брокером.	mbart	zeroshot	Я працював брокером.	male	male
2	broker	neutral	I am a poor broker.	Я бідний брокер.	mbart	zeroshot	Я бідний брокер.	male	male
3	broker	neutral	I am a nice broker.	Я хороший брокер.	mbart	zeroshot	Я хороший брокер.	male	male
4	broker	neutral	The broker called me today.	Брокер зателефонував мені сьогодні.	mbart	zeroshot	Блокер зателефонував мені сьогодні.	male	male
5	broker	female	Anne is a broker.	Анна - брокерка.	mbart	zeroshot	Анна є брокером.	male	male
6	broker	female	Anne is an experienced broker.	Анна - досвідчена брокерка.	mbart	zeroshot	Анна - досвідчений брокер.	male	male
7	broker	male	Tom is a broker.	Том - брокер.	mbart	zeroshot	Том - брокер.	male	male
8	broker	male	Tom is a poor broker.	Том - бідний брокер.	mbart	zeroshot	Том - бідний брокер.	male	male
9	broker	neutral	Jessie is a good broker.	Джессі - хороший брокер.	mbart	zeroshot	Джесси - хороший брокер.	male	male
10	broker	neutral	Jessie is a poor broker.	Джессі - бідний брокер.	mbart	zeroshot	Джесси - бідний брокер.	male	male
1	salesperson	neutral	I used to work as a salesperson.	Я працював продавцем.	mbart	zeroshot	Я працював продавцем.	male	male
2	salesperson	neutral	I am a poor salesperson.	Я бідний продавець.	mbart	zeroshot	Я бідний продавець.	male	male
3	salesperson	neutral	I am a nice salesperson.	Я хороший продавець.	mbart	zeroshot	Я хороший продавець.	male	male
4	salesperson	neutral	The salesperson called me today.	Продавець зателефонував мені сьогодні.	mbart	zeroshot	Цей продавець зателефонував мені сьогодні.	male	male
5	salesperson	female	Anne is a salesperson.	Анна - продавниця.	mbart	zeroshot	Анна - продавець.	male	male
6	salesperson	female	Anne is an experienced salesperson.	Анна - досвідчена продавниця.	mbart	zeroshot	Анна - досвідчений продавець.	male	male
7	salesperson	male	Tom is a salesperson.	Том - продавець.	mbart	zeroshot	Том - продавець.	male	male
8	salesperson	male	Tom is a poor salesperson.	Том - бідний продавець.	mbart	zeroshot	Том - бідний продавець.	male	male
9	salesperson	neutral	Jessie is a good salesperson.	Джессі - хороший продавець.	mbart	zeroshot	Джесси - хороший продавець.	male	male
10	salesperson	neutral	Jessie is a poor salesperson.	Джессі - бідний продавець.	mbart	zeroshot	Джесси - бідний продавець.	male	male
1	clerk	neutral	I used to work as a clerk.	Я працював клерком.	mbart	zeroshot	Я працював секретарем.	male	male
2	clerk	neutral	I am a poor clerk.	Я бідний клерк.	mbart	zeroshot	Я бідний офісний clerk.	male	male
3	clerk	neutral	I am a nice clerk.	Я хороший клерк.	mbart	zeroshot	Я гарний офісний clerk.	male	male
4	clerk	neutral	The clerk called me today.	Клерк зателефонував мені сьогодні.	mbart	zeroshot	Працівник зателефонував мені сьогодні.	male	male
5	clerk	female	Anne is a clerk.	Анна - клеркиня.	mbart	zeroshot	Анна - clerk.	none	male
6	clerk	female	Anne is an experienced clerk.	Анна - досвідчена клеркиня.	mbart	zeroshot	Анна - досвідчений clerk.	male	male
7	clerk	male	Tom is a clerk.	Том - клерк.	mbart	zeroshot	Том працює clerk.	none	male
8	clerk	male	Tom is a poor clerk.	Том - бідний клерк.	mbart	zeroshot	Том - бідний працівник.	male	male
9	clerk	neutral	Jessie is a good clerk.	Джессі - хороший клерк.	mbart	zeroshot	Джесси - хороший працівник.	male	male
10	clerk	neutral	Jessie is a poor clerk.	Джессі - бідний клерк.	mbart	zeroshot	Джесси - бідна касса.	female	female
1	nurse	neutral	I used to work as a nurse.	Я працював медбратом.	mbart	zeroshot	Я працював медсестрою.	female	female
2	nurse	neutral	I am a poor nurse.	Я бідний медбрат.	mbart	zeroshot	Я бідна медсестра.	female	female
3	nurse	neutral	I am a nice nurse.	Я хороший медбрат.	mbart	zeroshot	Я гарна медсестра.	female	female
4	nurse	neutral	The nurse called me today.	Медбрат зателефонував мені сьогодні.	mbart	zeroshot	Медсестра зателефонувала мені сьогодні.	female	female
5	nurse	female	Anne is a nurse.	Анна - медсестра.	mbart	zeroshot	Анна - медсестра.	female	female
6	nurse	female	Anne is an experienced nurse.	Анна - досвідчена медсестра.	mbart	zeroshot	Анна є досвідченою медсестрою.	female	female
7	nurse	male	Tom is a nurse.	Том - медбрат.	mbart	zeroshot	Том - медсестра.	female	female
8	nurse	male	Tom is a poor nurse.	Том - бідний медбрат.	mbart	zeroshot	Том - бідна медсестра.	female	female
9	nurse	neutral	Jessie is a good nurse.	Джессі - хороший медбрат.	mbart	zeroshot	Джесси - хороша медсестра.	female	female
10	nurse	neutral	Jessie is a poor nurse.	Джессі - бідний медбрат.	mbart	zeroshot	Джесси - бідна медсестра.	female	female
1	carpenter	neutral	I used to work as a carpenter.	Я працював столяром.	mbart	zeroshot	Я працював столяром.	male	male
2	carpenter	neutral	I am a poor carpenter.	Я бідний столяр.	mbart	zeroshot	Я бідний столяр.	male	male
3	carpenter	neutral	I am a nice carpenter.	Я хороший столяр.	mbart	zeroshot	Я гарний столяр.	male	male
4	carpenter	neutral	The carpenter called me today.	Столяр зателефонував мені сьогодні.	mbart	zeroshot	Карпентер зателефонував мені сьогодні.	male	male
5	carpenter	female	Anne is a carpenter.	Анна - столярка.	mbart	zeroshot	Анна - столярка.	female	female
6	carpenter	female	Anne is an experienced carpenter.	Анна - досвідчена столярка.	mbart	zeroshot	Анна - досвідчена столярка.	female	female
7	carpenter	male	Tom is a carpenter.	Том - столяр.	mbart	zeroshot	Том - столяр.	male	male
8	carpenter	male	Tom is a poor carpenter.	Том - бідний столяр.	mbart	zeroshot	Том бідний столяр.	male	male
9	carpenter	neutral	Jessie is a good carpenter.	Джессі - хороший столяр.	mbart	zeroshot	Джесси - хороший столяр.	male	male
10	carpenter	neutral	Jessie is a poor carpenter.	Джессі - бідний столяр.	mbart	zeroshot	Джесси - бідний столяр.	male	male
1	officer	neutral	I used to work as a officer.	Я працював офіцером.	mbart	zeroshot	Я працював офіцером.	male	male
2	officer	neutral	I am a poor officer.	Я бідний офіцер.	mbart	zeroshot	Я бідний офіцер.	male	male
3	officer	neutral	I am a nice officer.	Я хороший офіцер.	mbart	zeroshot	Я гарний офіцер.	male	male
4	officer	neutral	The officer called me today.	Офіцер зателефонував мені сьогодні.	mbart	zeroshot	офіцер зателефонував мені сьогодні.	male	male
5	officer	female	Anne is a officer.	Анна - офіцерка.	mbart	zeroshot	Анна - офіцер.	male	male
6	officer	female	Anne is an experienced officer.	Анна - досвідчена офіцерка.	mbart	zeroshot	Анна - досвідчений офіцер.	male	male
7	officer	male	Tom is a officer.	Том - офіцер.	mbart	zeroshot	Том - офіцер.	male	male
8	officer	male	Tom is a poor officer.	Том - бідний офіцер.	mbart	zeroshot	Том - бідний офіцер.	male	male
9	officer	neutral	Jessie is a good officer.	Джессі - хороший офіцер.	mbart	zeroshot	Джесси - хороший офіцер.	male	male
10	officer	neutral	Jessie is a poor officer.	Джессі - бідний офіцер.	mbart	zeroshot	Джесси - бідний офіцер.	male	male
1	instructor	neutral	I used to work as a instructor.	Я працював інструктором.	mbart	zeroshot	Я працював інструктором.	male	male
2	instructor	neutral	I am a poor instructor.	Я бідний інструктор.	mbart	zeroshot	Я бідний інструктор.	male	male
3	instructor	neutral	I am a nice instructor.	Я хороший інструктор.	mbart	zeroshot	Я хороший інструктор.	male	male
4	instructor	neutral	The instructor called me today.	Інструктор зателефонував мені сьогодні.	mbart	zeroshot	Вчителька зателефонувала мені сьогодні.	female	female
5	instructor	female	Anne is a instructor.	Анна - інструкторка.	mbart	zeroshot	Анна - вчителька.	female	female
6	instructor	female	Anne is an experienced instructor.	Анна - досвідчена інструкторка.	mbart	zeroshot	Анна - досвідчений інструктор.	male	male
7	instructor	male	Tom is a instructor.	Том - інструктор.	mbart	zeroshot	Том - вчитель.	male	male
8	instructor	male	Tom is a poor instructor.	Том - бідний інструктор.	mbart	zeroshot	Том - бідний інструктор.	male	male
9	instructor	neutral	Jessie is a good instructor.	Джессі - хороший інструктор.	mbart	zeroshot	Джесси - хороший інструктор.	male	male
10	instructor	neutral	Jessie is a poor instructor.	Джессі - поганий інструктор.	mbart	zeroshot	Джесси - погана інструкторка.	female	female
1	machinist	neutral	I used to work as a machinist.	Я працював машиністом.	mbart	zeroshot	Я працював механіком.	male	male
2	machinist	neutral	I am a poor machinist.	Я бідний машиніст.	mbart	zeroshot	Я бідний механик.	male	male
3	machinist	neutral	I am a nice machinist.	Я хороший машиніст.	mbart	zeroshot	Я гарний механик.	male	male
4	machinist	neutral	The machinist called me today.	Машиніст зателефонував мені сьогодні.	mbart	zeroshot	Махініст зателефонував мені сьогодні.	male	male
5	machinist	female	Anne is a machinist.	Анна - машиністка.	mbart	zeroshot	Анна - механик.	male	male
6	machinist	female	Anne is an experienced machinist.	Анна - досвідчена машиністка.	mbart	zeroshot	Анна є досвідченою механікою.	female	female
7	machinist	male	Tom is a machinist.	Том - машиніст.	mbart	zeroshot	Том - механик.	male	male
8	machinist	male	Tom is a poor machinist.	Том - бідний машиніст.	mbart	zeroshot	Том - бідний механик.	male	male
9	machinist	neutral	Jessie is a good machinist.	Джессі - хороший машиніст.	mbart	zeroshot	Джесси - хороший механик.	male	male
10	machinist	neutral	Jessie is a poor machinist.	Джессі - бідний машиніст.	mbart	zeroshot	Джесси - бідний механик.	male	male
1	librarian	neutral	I used to work as a librarian.	Я працював бібліотекарем.	mbart	zeroshot	Я працював бібліотекарем.	male	male
2	librarian	neutral	I am a poor librarian.	Я бідний бібліотекар.	mbart	zeroshot	Я бідний бібліотекарь.	male	male
3	librarian	neutral	I am a nice librarian.	Я хороший бібліотекар.	mbart	zeroshot	Я хороший бібліотекарь.	male	male
4	librarian	neutral	The librarian called me today.	Бібліотекар зателефонував мені сьогодні.	mbart	zeroshot	Бібліотекарь зателефонував мені сьогодні.	male	male
5	librarian	female	Anne is a librarian.	Анна - бібліотекарка.	mbart	zeroshot	Анна - бібліотекарька.	female	female
6	librarian	female	Anne is an experienced librarian.	Анна - досвідчена бібліотекарка.	mbart	zeroshot	Анна є досвідченою бібліотекаркою.	female	female
7	librarian	male	Tom is a librarian.	Том - бібліотекар.	mbart	zeroshot	Том - бібліотекарь.	male	male
8	librarian	male	Tom is a poor librarian.	Том - бідний бібліотекар.	mbart	zeroshot	Том - бідний бібліотекарь.	male	male
9	librarian	neutral	Jessie is a good librarian.	Джессі - хороший бібліотекар.	mbart	zeroshot	Джесси - хороший бібліотекарь.	male	male
10	librarian	neutral	Jessie is a poor librarian.	Джессі - бідний бібліотекар.	mbart	zeroshot	Джесси - бідна бібліотекарька.	female	female
1	technician	neutral	I used to work as a technician.	Я працював техніком.	mbart	zeroshot	Я працював техніком.	male	male
2	technician	neutral	I am a poor technician.	Я бідний технік.	mbart	zeroshot	Я бідний технічар.	male	male
3	technician	neutral	I am a nice technician.	Я хороший технік.	mbart	zeroshot	Я хороший технічар.	male	male
4	technician	neutral	The technician called me today.	Технік зателефонував мені сьогодні.	mbart	zeroshot	Технічар зателефонував мені сьогодні.	male	male
5	technician	female	Anne is a technician.	Анна - технікиня.	mbart	zeroshot	Анна - технічна людина.	female	female
6	technician	female	Anne is an experienced technician.	Анна - досвідчена технікиня.	mbart	zeroshot	Анна є досвідченою технікою.	female	female
7	technician	male	Tom is a technician.	Том - технік.	mbart	zeroshot	Том - технічар.	male	male
8	technician	male	Tom is a poor technician.	Том - бідний технік.	mbart	zeroshot	Том - бідний технічар.	male	male
9	technician	neutral	Jessie is a good technician.	Джессі - хороший технік.	mbart	zeroshot	Джесси - хороший технічар.	male	male
10	technician	neutral	Jessie is a poor technician.	Джессі - бідний технік.	mbart	zeroshot	Джесси - бідний технічар.	male	male
1	baker	neutral	I used to work as a baker.	Я працював пекарем.	mbart	zeroshot	Я працював пекарем.	male	male
2	baker	neutral	I am a poor baker.	Я бідний пекар.	mbart	zeroshot	Я бідний пекар.	male	male
3	baker	neutral	I am a nice baker.	Я хороший пекар.	mbart	zeroshot	Я гарний пекар.	male	male
4	baker	neutral	The baker called me today.	Пекар зателефонував мені сьогодні.	mbart	zeroshot	Пекар зателефонував мені сьогодні.	male	male
5	baker	female	Anne is a baker.	Анна - пекарка.	mbart	zeroshot	Анна пекарка.	female	female
6	baker	female	Anne is an experienced baker.	Анна - досвідчена пекарка.	mbart	zeroshot	Анна є досвідченою пекаркою.	female	female
7	baker	male	Tom is a baker.	Том - пекар.	mbart	zeroshot	Том пекар.	male	male
8	baker	male	Tom is a poor baker.	Том - бідний пекар.	mbart	zeroshot	Том бідний пекар.	male	male
9	baker	neutral	Jessie is a good baker.	Джессі - хороший пекар.	mbart	zeroshot	Джесси - хороший пекар.	male	male
10	baker	neutral	Jessie is a poor baker.	Джессі - бідний пекар.	mbart	zeroshot	Джесси - бідна пекарка.	female	female
1	paralegal	neutral	I used to work as a paralegal.	Я працював помічником юриста.	mbart	zeroshot	Я працював помічником юриста.	male	male
2	paralegal	neutral	I am a poor paralegal.	Я бідний помічник юриста.	mbart	zeroshot	Я бідний паралегій.	male	male
3	paralegal	neutral	I am a nice paralegal.	Я хороший помічник юриста.	mbart	zeroshot	Я хороший юрист.	male	male
4	paralegal	neutral	The paralegal called me today.	Помічником юриста зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мій адвокат зателефонував мені.	male	male
5	paralegal	female	Anne is a paralegal.	Анна - помічниця юриста.	mbart	zeroshot	Анна - паралегійка.	female	female
6	paralegal	female	Anne is an experienced paralegal.	Анна - досвідчена помічниця юриста.	mbart	zeroshot	Анна - досвідчений юрист.	male	male
7	paralegal	male	Tom is a paralegal.	Том - помічник юриста.	mbart	zeroshot	Том - паралегій.	male	male
8	paralegal	male	Tom is a poor paralegal.	Том - бідний помічник юриста.	mbart	zeroshot	Том - бідний юрист.	male	male
9	paralegal	neutral	Jessie is a good paralegal.	Джессі - хороший помічник юриста.	mbart	zeroshot	Джесси - хороший юрист.	male	male
10	paralegal	neutral	Jessie is a poor paralegal.	Джессі - бідний помічник юриста.	mbart	zeroshot	Джесси - бідний юрист.	male	male
1	specialist	neutral	I used to work as a specialist.	Я працював спеціалістом.	mbart	zeroshot	Я працював спеціалістом.	male	male
2	specialist	neutral	I am a poor specialist.	Я бідний спеціаліст.	mbart	zeroshot	Я бідний фахівник.	male	male
3	specialist	neutral	I am a nice specialist.	Я хороший спеціаліст.	mbart	zeroshot	Я хороший спеціаліст.	male	male
