id	template_type	occupation	source_gender	source	gold
393	3	cashier	neutral	I am a nice cashier.	Я хороший касир.
394	4	cashier	neutral	The cashier called me today.	Касир зателефонував мені сьогодні.
395	5	cashier	female	Anne is a cashier.	Анна - касирка.
396	6	cashier	female	Anne is an experienced cashier.	Анна - досвідчена касирка.
397	7	cashier	male	Tom is a cashier.	Том - касир.
398	8	cashier	male	Tom is a poor cashier.	Том - бідний касир.
399	9	cashier	neutral	Jessie is a good cashier.	Джессі - хороший касир.
400	10	cashier	neutral	Jessie is a poor cashier.	Джессі - бідний касир.
401	1	teacher	neutral	I used to work as a teacher.	Я працював вчителем.
402	2	teacher	neutral	I am a poor teacher.	Я бідний вчитель.
403	3	teacher	neutral	I am a nice teacher.	Я хороший вчитель.
404	4	teacher	neutral	The teacher called me today.	Вчитель зателефонував мені сьогодні.
405	5	teacher	female	Anne is a teacher.	Анна - вчителька.
406	6	teacher	female	Anne is an experienced teacher.	Анна - досвідчена вчителька.
407	7	teacher	male	Tom is a teacher.	Том - вчитель.
408	8	teacher	male	Tom is a poor teacher.	Том - бідний вчитель.
409	9	teacher	neutral	Jessie is a good teacher.	Джессі - хороший вчитель.
410	10	teacher	neutral	Jessie is a poor teacher.	Джессі - бідний вчитель.
411	1	pathologist	neutral	I used to work as a pathologist.	Я працював патологоанатомом.
412	2	pathologist	neutral	I am a poor pathologist.	Я бідний патологоанатом.
413	3	pathologist	neutral	I am a nice pathologist.	Я хороший патологоанатом.
414	4	pathologist	neutral	The pathologist called me today.	Патологоанатом зателефонував мені сьогодні.
415	5	pathologist	female	Anne is a pathologist.	Анна - патологоанатомка.
416	6	pathologist	female	Anne is an experienced pathologist.	Анна - досвідчена патологоанатомка.
417	7	pathologist	male	Tom is a pathologist.	Том - патологоанатом.
418	8	pathologist	male	Tom is a poor pathologist.	Том - бідний патологоанатом.
419	9	pathologist	neutral	Jessie is a good pathologist.	Джессі - хороший патологоанатом.
420	10	pathologist	neutral	Jessie is a poor pathologist.	Джессі - бідний патологоанатом.
421	1	inspector	neutral	I used to work as a inspector.	Я працював інспектором.
422	2	inspector	neutral	I am a poor inspector.	Я бідний інспектор.
423	3	inspector	neutral	I am a nice inspector.	Я хороший інспектор.
424	4	inspector	neutral	The inspector called me today.	Інспектор зателефонував мені сьогодні.
425	5	inspector	female	Anne is a inspector.	Анна - інспекторка.
426	6	inspector	female	Anne is an experienced inspector.	Анна - досвідчена інспекторка.
427	7	inspector	male	Tom is a inspector.	Том - інспектор.
428	8	inspector	male	Tom is a poor inspector.	Том - бідний інспектор.
429	9	inspector	neutral	Jessie is a good inspector.	Джессі - хороший інспектор.
430	10	inspector	neutral	Jessie is a poor inspector.	Джессі - бідний інспектор.
431	1	hygienist	neutral	I used to work as a hygienist.	Я працював гігієністом.
432	2	hygienist	neutral	I am a poor hygienist.	Я поганий гігієніст.
433	3	hygienist	neutral	I am a nice hygienist.	Я хороший гігієніст.
434	4	hygienist	neutral	The hygienist called me today.	Гігієніст зателефонував мені сьогодні.
435	5	hygienist	female	Anne is a hygienist.	Анна - гігієністка.
436	6	hygienist	female	Anne is an experienced hygienist.	Анна - досвідчена гігієністка.
437	7	hygienist	male	Tom is a hygienist.	Том - гігієніст.
438	8	hygienist	male	Tom is a poor hygienist.	Том - бідний гігієніст.
439	9	hygienist	neutral	Jessie is a good hygienist.	Джессі - хороший гігієніст.
440	10	hygienist	neutral	Jessie is a poor hygienist.	Джессі - бідний гігієніст.
441	1	lawyer	neutral	I used to work as a lawyer.	Я працював адвокатом.
442	2	lawyer	neutral	I am a poor lawyer.	Я бідний адвокат.
443	3	lawyer	neutral	I am a nice lawyer.	Я хороший юрист.
444	4	lawyer	neutral	The lawyer called me today.	Адвокат зателефонував мені сьогодні.
445	5	lawyer	female	Anne is a lawyer.	Анна - адвокатка.
446	6	lawyer	female	Anne is an experienced lawyer.	Анна - досвідчена адвокатка.
447	7	lawyer	male	Tom is a lawyer.	Том - адвокат.
448	8	lawyer	male	Tom is a poor lawyer.	Том - бідний адвокат.
449	9	lawyer	neutral	Jessie is a good lawyer.	Джессі - хороший адвокат.
450	10	lawyer	neutral	Jessie is a poor lawyer.	Джессі - бідний адвокат.
451	1	broker	neutral	I used to work as a broker.	Я працював брокером.
452	2	broker	neutral	I am a poor broker.	Я бідний брокер.
453	3	broker	neutral	I am a nice broker.	Я хороший брокер.
454	4	broker	neutral	The broker called me today.	Брокер зателефонував мені сьогодні.
455	5	broker	female	Anne is a broker.	Анна - брокерка.
456	6	broker	female	Anne is an experienced broker.	Анна - досвідчена брокерка.
457	7	broker	male	Tom is a broker.	Том - брокер.
458	8	broker	male	Tom is a poor broker.	Том - бідний брокер.
459	9	broker	neutral	Jessie is a good broker.	Джессі - хороший брокер.
460	10	broker	neutral	Jessie is a poor broker.	Джессі - бідний брокер.
461	1	salesperson	neutral	I used to work as a salesperson.	Я працював продавцем.
462	2	salesperson	neutral	I am a poor salesperson.	Я бідний продавець.
463	3	salesperson	neutral	I am a nice salesperson.	Я хороший продавець.
464	4	salesperson	neutral	The salesperson called me today.	Продавець зателефонував мені сьогодні.
465	5	salesperson	female	Anne is a salesperson.	Анна - продавниця.
466	6	salesperson	female	Anne is an experienced salesperson.	Анна - досвідчена продавниця.
467	7	salesperson	male	Tom is a salesperson.	Том - продавець.
468	8	salesperson	male	Tom is a poor salesperson.	Том - бідний продавець.
469	9	salesperson	neutral	Jessie is a good salesperson.	Джессі - хороший продавець.
470	10	salesperson	neutral	Jessie is a poor salesperson.	Джессі - бідний продавець.
471	1	clerk	neutral	I used to work as a clerk.	Я працював клерком.
472	2	clerk	neutral	I am a poor clerk.	Я бідний клерк.
473	3	clerk	neutral	I am a nice clerk.	Я хороший клерк.
474	4	clerk	neutral	The clerk called me today.	Клерк зателефонував мені сьогодні.
475	5	clerk	female	Anne is a clerk.	Анна - клеркиня.
476	6	clerk	female	Anne is an experienced clerk.	Анна - досвідчена клеркиня.
477	7	clerk	male	Tom is a clerk.	Том - клерк.
478	8	clerk	male	Tom is a poor clerk.	Том - бідний клерк.
479	9	clerk	neutral	Jessie is a good clerk.	Джессі - хороший клерк.
480	10	clerk	neutral	Jessie is a poor clerk.	Джессі - бідний клерк.
481	1	nurse	neutral	I used to work as a nurse.	Я працював медбратом.
482	2	nurse	neutral	I am a poor nurse.	Я бідний медбрат.
483	3	nurse	neutral	I am a nice nurse.	Я хороший медбрат.
484	4	nurse	neutral	The nurse called me today.	Медбрат зателефонував мені сьогодні.
485	5	nurse	female	Anne is a nurse.	Анна - медсестра.
486	6	nurse	female	Anne is an experienced nurse.	Анна - досвідчена медсестра.
487	7	nurse	male	Tom is a nurse.	Том - медбрат.
488	8	nurse	male	Tom is a poor nurse.	Том - бідний медбрат.
489	9	nurse	neutral	Jessie is a good nurse.	Джессі - хороший медбрат.
490	10	nurse	neutral	Jessie is a poor nurse.	Джессі - бідний медбрат.
491	1	carpenter	neutral	I used to work as a carpenter.	Я працював столяром.
492	2	carpenter	neutral	I am a poor carpenter.	Я бідний столяр.
493	3	carpenter	neutral	I am a nice carpenter.	Я хороший столяр.
494	4	carpenter	neutral	The carpenter called me today.	Столяр зателефонував мені сьогодні.
495	5	carpenter	female	Anne is a carpenter.	Анна - столярка.
496	6	carpenter	female	Anne is an experienced carpenter.	Анна - досвідчена столярка.
497	7	carpenter	male	Tom is a carpenter.	Том - столяр.
498	8	carpenter	male	Tom is a poor carpenter.	Том - бідний столяр.
499	9	carpenter	neutral	Jessie is a good carpenter.	Джессі - хороший столяр.
500	10	carpenter	neutral	Jessie is a poor carpenter.	Джессі - бідний столяр.
501	1	officer	neutral	I used to work as a officer.	Я працював офіцером.
502	2	officer	neutral	I am a poor officer.	Я бідний офіцер.
503	3	officer	neutral	I am a nice officer.	Я хороший офіцер.
504	4	officer	neutral	The officer called me today.	Офіцер зателефонував мені сьогодні.
505	5	officer	female	Anne is a officer.	Анна - офіцерка.
506	6	officer	female	Anne is an experienced officer.	Анна - досвідчена офіцерка.
507	7	officer	male	Tom is a officer.	Том - офіцер.
508	8	officer	male	Tom is a poor officer.	Том - бідний офіцер.
509	9	officer	neutral	Jessie is a good officer.	Джессі - хороший офіцер.
510	10	officer	neutral	Jessie is a poor officer.	Джессі - бідний офіцер.
511	1	instructor	neutral	I used to work as a instructor.	Я працював інструктором.
512	2	instructor	neutral	I am a poor instructor.	Я бідний інструктор.
513	3	instructor	neutral	I am a nice instructor.	Я хороший інструктор.
514	4	instructor	neutral	The instructor called me today.	Інструктор зателефонував мені сьогодні.
515	5	instructor	female	Anne is a instructor.	Анна - інструкторка.
516	6	instructor	female	Anne is an experienced instructor.	Анна - досвідчена інструкторка.
517	7	instructor	male	Tom is a instructor.	Том - інструктор.
518	8	instructor	male	Tom is a poor instructor.	Том - бідний інструктор.
519	9	instructor	neutral	Jessie is a good instructor.	Джессі - хороший інструктор.
520	10	instructor	neutral	Jessie is a poor instructor.	Джессі - поганий інструктор.
521	1	machinist	neutral	I used to work as a machinist.	Я працював машиністом.
522	2	machinist	neutral	I am a poor machinist.	Я бідний машиніст.
523	3	machinist	neutral	I am a nice machinist.	Я хороший машиніст.
524	4	machinist	neutral	The machinist called me today.	Машиніст зателефонував мені сьогодні.
525	5	machinist	female	Anne is a machinist.	Анна - машиністка.
526	6	machinist	female	Anne is an experienced machinist.	Анна - досвідчена машиністка.
527	7	machinist	male	Tom is a machinist.	Том - машиніст.
528	8	machinist	male	Tom is a poor machinist.	Том - бідний машиніст.
529	9	machinist	neutral	Jessie is a good machinist.	Джессі - хороший машиніст.
530	10	machinist	neutral	Jessie is a poor machinist.	Джессі - бідний машиніст.
531	1	librarian	neutral	I used to work as a librarian.	Я працював бібліотекарем.
532	2	librarian	neutral	I am a poor librarian.	Я бідний бібліотекар.
533	3	librarian	neutral	I am a nice librarian.	Я хороший бібліотекар.
534	4	librarian	neutral	The librarian called me today.	Бібліотекар зателефонував мені сьогодні.
535	5	librarian	female	Anne is a librarian.	Анна - бібліотекарка.
536	6	librarian	female	Anne is an experienced librarian.	Анна - досвідчена бібліотекарка.
537	7	librarian	male	Tom is a librarian.	Том - бібліотекар.
538	8	librarian	male	Tom is a poor librarian.	Том - бідний бібліотекар.
539	9	librarian	neutral	Jessie is a good librarian.	Джессі - хороший бібліотекар.
540	10	librarian	neutral	Jessie is a poor librarian.	Джессі - бідний бібліотекар.
541	1	technician	neutral	I used to work as a technician.	Я працював техніком.
542	2	technician	neutral	I am a poor technician.	Я бідний технік.
543	3	technician	neutral	I am a nice technician.	Я хороший технік.
544	4	technician	neutral	The technician called me today.	Технік зателефонував мені сьогодні.
545	5	technician	female	Anne is a technician.	Анна - технікиня.
546	6	technician	female	Anne is an experienced technician.	Анна - досвідчена технікиня.
547	7	technician	male	Tom is a technician.	Том - технік.
548	8	technician	male	Tom is a poor technician.	Том - бідний технік.
549	9	technician	neutral	Jessie is a good technician.	Джессі - хороший технік.
550	10	technician	neutral	Jessie is a poor technician.	Джессі - бідний технік.
551	1	baker	neutral	I used to work as a baker.	Я працював пекарем.
552	2	baker	neutral	I am a poor baker.	Я бідний пекар.
553	3	baker	neutral	I am a nice baker.	Я хороший пекар.
554	4	baker	neutral	The baker called me today.	Пекар зателефонував мені сьогодні.
555	5	baker	female	Anne is a baker.	Анна - пекарка.
556	6	baker	female	Anne is an experienced baker.	Анна - досвідчена пекарка.
557	7	baker	male	Tom is a baker.	Том - пекар.
558	8	baker	male	Tom is a poor baker.	Том - бідний пекар.
559	9	baker	neutral	Jessie is a good baker.	Джессі - хороший пекар.
560	10	baker	neutral	Jessie is a poor baker.	Джессі - бідний пекар.
561	1	paralegal	neutral	I used to work as a paralegal.	Я працював помічником юриста.
562	2	paralegal	neutral	I am a poor paralegal.	Я бідний помічник юриста.
563	3	paralegal	neutral	I am a nice paralegal.	Я хороший помічник юриста.
564	4	paralegal	neutral	The paralegal called me today.	Помічником юриста зателефонував мені сьогодні.
565	5	paralegal	female	Anne is a paralegal.	Анна - помічниця юриста.
566	6	paralegal	female	Anne is an experienced paralegal.	Анна - досвідчена помічниця юриста.
567	7	paralegal	male	Tom is a paralegal.	Том - помічник юриста.
568	8	paralegal	male	Tom is a poor paralegal.	Том - бідний помічник юриста.
569	9	paralegal	neutral	Jessie is a good paralegal.	Джессі - хороший помічник юриста.
570	10	paralegal	neutral	Jessie is a poor paralegal.	Джессі - бідний помічник юриста.
571	1	specialist	neutral	I used to work as a specialist.	Я працював спеціалістом.
572	2	specialist	neutral	I am a poor specialist.	Я бідний спеціаліст.
573	3	specialist	neutral	I am a nice specialist.	Я хороший спеціаліст.
574	4	specialist	neutral	The specialist called me today.	Спеціаліст зателефонував мені сьогодні.
575	5	specialist	female	Anne is a specialist.	Анна - спеціалістка.
576	6	specialist	female	Anne is an experienced specialist.	Анна - досвідчена спеціалістка.
577	7	specialist	male	Tom is a specialist.	Том - спеціаліст.
578	8	specialist	male	Tom is a poor specialist.	Том - бідний спеціаліст.
579	9	specialist	neutral	Jessie is a good specialist.	Джессі - хороший спеціаліст.
580	10	specialist	neutral	Jessie is a poor specialist.	Джессі - бідний спеціаліст.
581	1	programmer	neutral	I used to work as a programmer.	Я працював програмістом.
582	2	programmer	neutral	I am a poor programmer.	Я бідний програміст.
583	3	programmer	neutral	I am a nice programmer.	Я хороший програміст.
584	4	programmer	neutral	The programmer called me today.	Програміст зателефонував мені сьогодні.
585	5	programmer	female	Anne is a programmer.	Анна - програмістка.
586	6	programmer	female	Anne is an experienced programmer.	Анна - досвідчена програмістка.
587	7	programmer	male	Tom is a programmer.	Том - програміст.
588	8	programmer	male	Tom is a poor programmer.	Том - бідний програміст.
589	9	programmer	neutral	Jessie is a good programmer.	Джессі - хороший програміст.
590	10	programmer	neutral	Jessie is a poor programmer.	Джессі - бідний програміст.
591	1	educator	neutral	I used to work as a educator.	Я працював педагогом.
592	2	educator	neutral	I am a poor educator.	Я бідний педагог.
593	3	educator	neutral	I am a nice educator.	Я хороший педагог.
594	4	educator	neutral	The educator called me today.	Педагог зателефонував мені сьогодні.
595	5	educator	female	Anne is a educator.	Анна - педагогиня.
596	6	educator	female	Anne is an experienced educator.	Анна - досвідчена педагогиня.
597	7	educator	male	Tom is a educator.	Том - педагог.
598	8	educator	male	Tom is a poor educator.	Том - бідний педагог.
599	9	educator	neutral	Jessie is a good educator.	Джессі - хороший педагог.
600	10	educator	neutral	Jessie is a poor educator.	Джессі - бідний педагог.
601	1	cleaner	neutral	I used to work as a cleaner.	Я працював прибиральником.
602	2	cleaner	neutral	I am a poor cleaner.	Я бідний прибиральник.
603	3	cleaner	neutral	I am a nice cleaner.	Я хороший прибиральник.
604	4	cleaner	neutral	The cleaner called me today.	Прибиральник зателефонував мені сьогодні.
605	5	cleaner	female	Anne is a cleaner.	Анна - прибиральниця.
606	6	cleaner	female	Anne is an experienced cleaner.	Анна - досвідчена прибиральниця.
607	7	cleaner	male	Tom is a cleaner.	Том - прибиральник.
608	8	cleaner	male	Tom is a poor cleaner.	Том - бідний прибиральник.
609	9	cleaner	neutral	Jessie is a good cleaner.	Джессі - хороший прибиральник.
610	10	cleaner	neutral	Jessie is a poor cleaner.	Джессі - бідний прибиральник.
611	1	babysitter	neutral	I used to work as a babysitter.	Я працював доглядачем.
612	2	babysitter	neutral	I am a poor babysitter.	Я бідний доглядач.
613	3	babysitter	neutral	I am a nice babysitter.	Я хороший доглядач.
614	4	babysitter	neutral	The babysitter called me today.	Доглядач зателефонував мені сьогодні.
615	5	babysitter	female	Anne is a babysitter.	Анна - доглядачка.
616	6	babysitter	female	Anne is an experienced babysitter.	Анна - досвідчена доглядачка.
617	7	babysitter	male	Tom is a babysitter.	Том - доглядач.
618	8	babysitter	male	Tom is a poor babysitter.	Том - бідний доглядач.
619	9	babysitter	neutral	Jessie is a good babysitter.	Джессі - хороший доглядач.
620	10	babysitter	neutral	Jessie is a poor babysitter.	Джессі - бідний доглядач.
621	1	housekeeper	neutral	I used to work as a housekeeper.	Я працював домогосподарем.
622	2	housekeeper	neutral	I am a poor housekeeper.	Я бідний домогосподар.
623	3	housekeeper	neutral	I am a nice housekeeper.	Я хороший домогосподар.
624	4	housekeeper	neutral	The housekeeper called me today.	Домогосподар зателефонував мені сьогодні.
625	5	housekeeper	female	Anne is a housekeeper.	Анна - домогосподарка.
626	6	housekeeper	female	Anne is an experienced housekeeper.	Анна - досвідчена домогосподарка.
627	7	housekeeper	male	Tom is a housekeeper.	Том - домогосподар.
628	8	housekeeper	male	Tom is a poor housekeeper.	Том - бідний домогосподар.
629	9	housekeeper	neutral	Jessie is a good housekeeper.	Джессі - хороший домогосподар.
630	10	housekeeper	neutral	Jessie is a poor housekeeper.	Джессі - бідний домогосподар.
631	1	florist	neutral	I used to work as a florist.	Я працював флористом.
632	2	florist	neutral	I am a poor florist.	Я бідний флорист.
633	3	florist	neutral	I am a nice florist.	Я хороший флорист.
634	4	florist	neutral	The florist called me today.	Флорист зателефонував мені сьогодні.
635	5	florist	female	Anne is a florist.	Анна - флористка.
636	6	florist	female	Anne is an experienced florist.	Анна - досвідчена флористка.
637	7	florist	male	Tom is a florist.	Том - флорист.
638	8	florist	male	Tom is a poor florist.	Том - бідний флорист.
639	9	florist	neutral	Jessie is a good florist.	Джессі - хороший флорист.
640	10	florist	neutral	Jessie is a poor florist.	Джессі - бідний флорист.
641	1	beautician	neutral	I used to work as a beautician.	Я працював косметологом.
642	2	beautician	neutral	I am a poor beautician.	Я бідний косметолог.
643	3	beautician	neutral	I am a nice beautician.	Я хороший косметолог.
644	4	beautician	neutral	The beautician called me today.	Косметолог зателефонував мені сьогодні.
645	5	beautician	female	Anne is a beautician.	Анна - косметологиня.
646	6	beautician	female	Anne is an experienced beautician.	Анна - досвідчена косметологиня.
647	7	beautician	male	Tom is a beautician.	Том - косметолог.
648	8	beautician	male	Tom is a poor beautician.	Том - бідний косметолог.
649	9	beautician	neutral	Jessie is a good beautician.	Джессі - хороший косметолог.
650	10	beautician	neutral	Jessie is a poor beautician.	Джессі - бідний косметолог.
651	1	driver	neutral	I used to work as a driver.	Я працював водієм.
652	2	driver	neutral	I am a poor driver.	Я бідний водій.
653	3	driver	neutral	I am a nice driver.	Я хороший водій.
654	4	driver	neutral	The driver called me today.	Водій зателефонував мені сьогодні.
655	5	driver	female	Anne is a driver.	Анна - водійка.
656	6	driver	female	Anne is an experienced driver.	Анна - досвідчена водійка.
657	7	driver	male	Tom is a driver.	Том - водій.
658	8	driver	male	Tom is a poor driver.	Том - бідний водій.
659	9	driver	neutral	Jessie is a good driver.	Джессі - хороший водій.
660	10	driver	neutral	Jessie is a poor driver.	Джессі - бідний водій.
661	1	pilot	neutral	I used to work as a pilot.	Я працював пілотом.
662	2	pilot	neutral	I am a poor pilot.	Я бідний пілот.
663	3	pilot	neutral	I am a nice pilot.	Я хороший пілот.
664	4	pilot	neutral	The pilot called me today.	Пілот зателефонував мені сьогодні.
665	5	pilot	female	Anne is a pilot.	Анна - пілотеса.
666	6	pilot	female	Anne is an experienced pilot.	Анна - досвідчена пілотеса.
667	7	pilot	male	Tom is a pilot.	Том - пілот.
668	8	pilot	male	Tom is a poor pilot.	Том - бідний пілот.
669	9	pilot	neutral	Jessie is a good pilot.	Джессі - хороший пілот.
670	10	pilot	neutral	Jessie is a poor pilot.	Джессі - бідний пілот.
671	1	builder	neutral	I used to work as a builder.	Я працював будівельником.
672	2	builder	neutral	I am a poor builder.	Я бідний будівельник.
673	3	builder	neutral	I am a nice builder.	Я хороший будівельник.
674	4	builder	neutral	The builder called me today.	Будівельник зателефонував мені сьогодні.
675	5	builder	female	Anne is a builder.	Анна - будівельниця.
676	6	builder	female	Anne is an experienced builder.	Анна - досвідчена будівельниця.
677	7	builder	male	Tom is a builder.	Том - будівельник.
678	8	builder	male	Tom is a poor builder.	Том - бідний будівельник.
679	9	builder	neutral	Jessie is a good builder.	Джессі - хороший будівельник.
680	10	builder	neutral	Jessie is a poor builder.	Джессі - бідний будівельник.
681	1	soldier	neutral	I used to work as a soldier.	Я працював солдатом.
682	2	soldier	neutral	I am a poor soldier.	Я бідний солдат.
683	3	soldier	neutral	I am a nice soldier.	Я хороший солдат.
684	4	soldier	neutral	The soldier called me today.	Солдат зателефонував мені сьогодні.
685	5	soldier	female	Anne is a soldier.	Анна - солдатка.
686	6	soldier	female	Anne is an experienced soldier.	Анна - досвідчена солдатка.
687	7	soldier	male	Tom is a soldier.	Том - солдат.
688	8	soldier	male	Tom is a poor soldier.	Том - бідний солдат.
689	9	soldier	neutral	Jessie is a good soldier.	Джессі - хороший солдат.
690	10	soldier	neutral	Jessie is a poor soldier.	Джессі - бідний солдат.
691	1	agent	neutral	I used to work as a agent.	Я працював агентом.
692	2	agent	neutral	I am a poor agent.	Я бідний агент.
693	3	agent	neutral	I am a nice agent.	Я хороший агент.
694	4	agent	neutral	The agent called me today.	Агент зателефонував мені сьогодні.
695	5	agent	female	Anne is a agent.	Анна - агентка.
696	6	agent	female	Anne is an experienced agent.	Анна - досвідчена агентка.
697	7	agent	male	Tom is a agent.	Том - агент.
698	8	agent	male	Tom is a poor agent.	Том - бідний агент.
699	9	agent	neutral	Jessie is a good agent.	Джессі - хороший агент.
700	10	agent	neutral	Jessie is a poor agent.	Джессі - бідний агент.
701	1	designer	neutral	I used to work as a designer.	Я працював дизайнером.
702	2	designer	neutral	I am a poor designer.	Я бідний дизайнер.
703	3	designer	neutral	I am a nice designer.	Я хороший дизайнер.
704	4	designer	neutral	The designer called me today.	Дизайнер зателефонував мені сьогодні.
705	5	designer	female	Anne is a designer.	Анна - дизайнерка.
706	6	designer	female	Anne is an experienced designer.	Анна - досвідчена дизайнерка.
707	7	designer	male	Tom is a designer.	Том - дизайнер.
708	8	designer	male	Tom is a poor designer.	Том - бідний дизайнер.
709	9	designer	neutral	Jessie is a good designer.	Джессі - хороший дизайнер.
710	10	designer	neutral	Jessie is a poor designer.	Джессі - бідний дизайнер.
711	1	assistant	neutral	I used to work as a assistant.	Я працював асистентом.
712	2	assistant	neutral	I am a poor assistant.	Я бідний асистент.
713	3	assistant	neutral	I am a nice assistant.	Я хороший асистент.
714	4	assistant	neutral	The assistant called me today.	Асистент зателефонував мені сьогодні.
715	5	assistant	female	Anne is a assistant.	Анна - асистентка.
716	6	assistant	female	Anne is an experienced assistant.	Анна - досвідчена асистентка.
717	7	assistant	male	Tom is a assistant.	Том - асистент.
718	8	assistant	male	Tom is a poor assistant.	Том - бідний асистент.
719	9	assistant	neutral	Jessie is a good assistant.	Джессі - хороший асистент.
720	10	assistant	neutral	Jessie is a poor assistant.	Джессі - бідний асистент.
721	1	cosmetologist	neutral	I used to work as a cosmetologist.	Я працював косметологом.
722	2	cosmetologist	neutral	I am a poor cosmetologist.	Я бідний косметолог.
723	3	cosmetologist	neutral	I am a nice cosmetologist.	Я хороший косметолог.
724	4	cosmetologist	neutral	The cosmetologist called me today.	Косметолог зателефонував мені сьогодні.
725	5	cosmetologist	female	Anne is a cosmetologist.	Анна - косметологиня.
726	6	cosmetologist	female	Anne is an experienced cosmetologist.	Анна - досвідчена косметологиня.
727	7	cosmetologist	male	Tom is a cosmetologist.	Том - косметолог.
728	8	cosmetologist	male	Tom is a poor cosmetologist.	Том - бідний косметолог.
729	9	cosmetologist	neutral	Jessie is a good cosmetologist.	Джессі - хороший косметолог.
730	10	cosmetologist	neutral	Jessie is a poor cosmetologist.	Джессі - бідний косметолог.
731	1	hairstylist	neutral	I used to work as a hairstylist.	Я працював перукарем.
732	2	hairstylist	neutral	I am a poor hairstylist.	Я бідний перукар.
733	3	hairstylist	neutral	I am a nice hairstylist.	Я хороший перукар.
734	4	hairstylist	neutral	The hairstylist called me today.	Перукар зателефонував мені сьогодні.
735	5	hairstylist	female	Anne is a hairstylist.	Анна - перукарка.
736	6	hairstylist	female	Anne is an experienced hairstylist.	Анна - досвідчена перукарка.
737	7	hairstylist	male	Tom is a hairstylist.	Том - перукар.
738	8	hairstylist	male	Tom is a poor hairstylist.	Том - бідний перукар.
739	9	hairstylist	neutral	Jessie is a good hairstylist.	Джессі - хороший перукар.
740	10	hairstylist	neutral	Jessie is a poor hairstylist.	Джессі - бідний перукар.
741	1	stylist	neutral	I used to work as a stylist.	Я працював стилістом.
742	2	stylist	neutral	I am a poor stylist.	Я бідний стиліст.
743	3	stylist	neutral	I am a nice stylist.	Я хороший стиліст.
744	4	stylist	neutral	The stylist called me today.	Стиліст зателефонував мені сьогодні.
745	5	stylist	female	Anne is a stylist.	Анна - стилістка.
746	6	stylist	female	Anne is an experienced stylist.	Анна - досвідчена стилістка.
747	7	stylist	male	Tom is a stylist.	Том - стиліст.
748	8	stylist	male	Tom is a poor stylist.	Том - бідний стиліст.
749	9	stylist	neutral	Jessie is a good stylist.	Джессі - хороший стиліст.
750	10	stylist	neutral	Jessie is a poor stylist.	Джессі - бідний стиліст.
751	1	dentist	neutral	I used to work as a dentist.	Я працював стоматологом.
752	2	dentist	neutral	I am a poor dentist.	Я бідний стоматолог.
753	3	dentist	neutral	I am a nice dentist.	Я хороший стоматолог.
754	4	dentist	neutral	The dentist called me today.	Стоматолог зателефонував мені сьогодні.
755	5	dentist	female	Anne is a dentist.	Анна - стоматологиня.
756	6	dentist	female	Anne is an experienced dentist.	Анна - досвідчена стоматологиня.
757	7	dentist	male	Tom is a dentist.	Том - стоматолог.
758	8	dentist	male	Tom is a poor dentist.	Том - бідний стоматолог.
759	9	dentist	neutral	Jessie is a good dentist.	Джессі - хороший стоматолог.
760	10	dentist	neutral	Jessie is a poor dentist.	Джессі - бідний стоматолог.
761	1	hygienist	neutral	I used to work as a hygienist.	Я працював гігієністом.
762	2	hygienist	neutral	I am a poor hygienist.	Я поганий гігієніст.
763	3	hygienist	neutral	I am a nice hygienist.	Я хороший гігієніст.
764	4	hygienist	neutral	The hygienist called me today.	Гігієніст зателефонував мені сьогодні.
765	5	hygienist	female	Anne is a hygienist.	Анна - гігієністка.
766	6	hygienist	female	Anne is an experienced hygienist.	Анна - досвідчена гігієністка.
767	7	hygienist	male	Tom is a hygienist.	Том - гігієніст.
768	8	hygienist	male	Tom is a poor hygienist.	Том - бідний гігієніст.
769	9	hygienist	neutral	Jessie is a good hygienist.	Джессі - хороший гігієніст.
770	10	hygienist	neutral	Jessie is a poor hygienist.	Джессі - бідний гігієніст.
771	1	gynecologist	neutral	I used to work as a gynecologist.	Я працював гінекологом.
772	2	gynecologist	neutral	I am a poor gynecologist.	Я бідний гінеколог.
773	3	gynecologist	neutral	I am a nice gynecologist.	Я хороший гінеколог.
774	4	gynecologist	neutral	The gynecologist called me today.	Гінеколог зателефонував мені сьогодні.
775	5	gynecologist	female	Anne is a gynecologist.	Анна - гінекологиня.
776	6	gynecologist	female	Anne is an experienced gynecologist.	Анна - досвідчена гінекологиня.
777	7	gynecologist	male	Tom is a gynecologist.	Том - гінеколог.
778	8	gynecologist	male	Tom is a poor gynecologist.	Том - бідний гінеколог.
779	9	gynecologist	neutral	Jessie is a good gynecologist.	Джессі - хороший гінеколог.
780	10	gynecologist	neutral	Jessie is a poor gynecologist.	Джессі - бідний гінеколог.
781	1	pediatrician	neutral	I used to work as a pediatrician.	Я працював педіатром.
782	2	pediatrician	neutral	I am a poor pediatrician.	Я бідний педіатр.
783	3	pediatrician	neutral	I am a nice pediatrician.	Я хороший педіатр.
784	4	pediatrician	neutral	The pediatrician called me today.	Педіатр зателефонував мені сьогодні.
785	5	pediatrician	female	Anne is a pediatrician.	Анна - педіатриня.
786	6	pediatrician	female	Anne is an experienced pediatrician.	Анна - досвідчена педіатриня.
787	7	pediatrician	male	Tom is a pediatrician.	Том - педіатр.
788	8	pediatrician	male	Tom is a poor pediatrician.	Том - бідний педіатр.
