Tagged EN,ukr_reference
"<neutral> I'm sorry, officer. It won't happen again.","Перепрошую, офіцере. Більше такого не повториться."
"<neutral> I'm sorry, officer. It won't happen again.","Перепрошую, офіцере. Більше такого не трапиться."
<neutral> I'm the doctor.,Я лікар.
<neutral> I'm the manager.,Я керівник.
<female> I'm the new teacher.,Я новий викладач.
<female> I'm the new teacher.,Я новий учитель.
<neutral> I'm Tom's counselor.,Я радник Тома.
<neutral> I'm Tom's doctor.,Я лікар Тома.
<female> I'm Tom's French teacher.,Я викладач французької Тома.
<neutral> I'm Tom's lawyer.,Я адвокат Тома.
<female> I'm Tom's new secretary.,Я новий секретар Тома.
<neutral> I'm Tom's stockbroker.,Я біржевий маклер Тома.
<neutral> I'm Tom's stockbroker.,Я брокер Тома.
<neutral> I'm Tom's supervisor.,Я керівник Тома.
<neutral> I'm Tom's supervisor.,Я супервізор Тома.
<neutral> I'm your doctor.,Я ваш лікар.
<neutral> I'm your doctor.,Я твій лікар.
<female> I'm your teacher.,Я ваш учитель.
<female> I'm your teacher.,Я твій учитель.
<neutral> I need a doctor!,Мені потрібен лікар!
<neutral> I need a doctor.,Мені потрібен лікар!
<neutral> I need a doctor.,Мені потрібен лікар.
<neutral> I need a good lawyer.,Мені потрібний добрий адвокат.
<neutral> I need a lawyer who can speak French.,"Мені потрібний адвокат, який може говорити французькою."
<neutral> I need a lawyer.,Мені потрібний адвокат.
<female> I need a secretary.,Мені потрібна секретарка.
<neutral> I need to get to a doctor.,Мені треба потрапити до лікаря.
<neutral> I need to get Tom to a doctor.,Мені потрібно відвезти Тома до лікаря.
<neutral> I need to get Tom to a doctor.,Мені потрібно відвести Тома до лікаря.
"<female> In Soviet Russia, lesson teaches teacher!",У Радянській Росії урок учить учителя!
<neutral> I often eat things that my doctor tells me not to.,"Я часто їм те, що мій лікар заборонив мені їсти."
<neutral> I only need one worker.,Мені потрібний лише один працівник.
<neutral> I paid the cashier.,Я заплатив касиру.
<male> I regarded him as the best doctor in town.,Я вважаю його найкращим лікарем в місті.
<female> I respect my French teacher.,Я поважаю свого викладача французької.
<female> I respect my teacher very much.,Я дуже поважаю свого учителя.
<neutral> Is anyone here a doctor?,Тут є лікар?
<male> Is he a doctor or a patient?,Він лікар чи пацієнт?
<male> Is he a doctor?,А він лікар?
<male> Is he a doctor?,Він лікар?
<female> Is he a teacher?,Він вчитель?
<female> Is her father a teacher?,Її батько — вчитель?
<female> Is he your teacher?,Він ваш викладач?
<female> Is he your teacher?,Він ваш учитель?
<female> Is he your teacher?,Він твій викладач?
<female> Is he your teacher?,Він твій учитель?
<male> Is his father a doctor?,Його батько — лікар?
<female> Isn't she a doctor?,Вона не лікар?
<female> Isn't she a doctor?,Хіба вона не лікар?
<female> Is she a doctor?,Вона лікар?
<female> Is that man over there a teacher?,"Той чоловік он там, він учитель?"
<neutral> Is there a doctor on board?,На борту є лікар?
<neutral> Is there a doctor on the flight?,Чи є на борту лікар?
"<female> Is this sentence correct, teacher?","Це речення вірне, вчителю?"
<female> Is Tom a French teacher?,Чи є Том учителем французької мови?
<female> Is Tom a teacher?,Том викладач?
<female> Is Tom a teacher?,Том учитель?
<female> Is Tom going to be a teacher?,Том буде учителем?
<female> Is Tom still a French teacher?,Том все ще викладач французької?
<female> Is Tom still a teacher?,Том все ще вчитель?
<male> Is your father a doctor?,Ваш батько лікар?
<male> Is your father a doctor?,Ваш тато лікар?
<male> Is your father a doctor?,Твій батько лікар?
<male> Is your father a doctor?,Твій тато лікар?
<female> Is your father a teacher?,Ваш батько вчитель?
<female> Is your father a teacher?,Твій батько вчитель?
<male> I think he is a doctor.,"Мені здається, він лікар."
<female> I think that Tom could've been a teacher.,"Мені здається, Том міг би бути вчителем."
<female> I think Tom could have been a teacher.,"Мені здається, Том міг би бути вчителем."
<female> I think Tom could've been a teacher.,"Мені здається, Том міг би бути вчителем."
<female> I think Tom would make a good teacher.,"Гадаю, з Тома вийшов би добрий учитель."
<neutral> I think we should call a doctor.,Думаю ми маємо подзвонити доктору.
<neutral> I think we should call a doctor.,Я думаю ми маємо зателефонувати лікарю.
<neutral> I thought I was going to become a doctor.,"Я думав, що стану лікарем."
<neutral> I thought you were a scientist.,"Я думав, що ти науковець."
<neutral> I thought you were a scientist.,"Я думала, що ти учений."
<neutral> It is necessary that we see a doctor.,Нам необхідно побачити лікаря.
<neutral> It is necessary that you see a doctor.,Вам необхідно показатися лікарю.
<neutral> It is necessary that you see a doctor.,Тобі необхідно показатися лікарю.
<neutral> I told Tom you were a good plumber.,"Я сказав Тому, що ти добрий сантехнік."
<neutral> I told Tom you were a good plumber.,"Я сказала Тому, що ви добрий сантехнік."
"<female> I, too, am a teacher.",Я теж учитель.
<female> I trusted my teacher.,Я довірився своєму вчителю.
<female> I trusted my teacher.,Я довіряв своєму вчителю.
<neutral> It's a co-worker.,Це мій колега.
<neutral> It's a co-worker.,Це моя колега.
<neutral> It's a doctored photo.,Це змонтована фотографія.
<female> It's an anime about a normal Japanese schoolboy who married his alien teacher. Things like this happen in Japan.,"Це аніме про те, як звичайний японський школяр одружився зі своєю вчителькою-інопланетянкою. Це Японія, там таке буває."
<neutral> I used to be the manager.,Я раніше був керівником.
<neutral> I've called a doctor.,Я викликав лікаря.
<neutral> I've called a doctor.,Я викликала лікаря.
<neutral> I've called a doctor.,Я зателефонував лікарю.
<male> I've decided to become an engineer.,Я вирішив стати інженером.
<male> I've decided to become an engineer.,Я вирішила стати інженером.
<female> I've decided to become a teacher.,Я вирішив стати учителем.
<female> I've decided to become a teacher.,Я вирішила стати учителем.
<female> I've never been a teacher.,Я ніколи не був викладачем.
<female> I've never been a teacher.,Я ніколи не був учителем.
<neutral> I've spoken to your teachers.,Я поговорив із твоїми викладачами.
<neutral> I've spoken to your teachers.,Я поговорила з твоїми викладачами.
<neutral> I've wanted to be a painter for a long time.,Я давно хотів стати художником.
<female> I visited the hairdresser.,Я була в перукарні.
<neutral> I want a lawyer who can speak English.,"Мені потрібен адвокат, який знає англійську."
<neutral> I want a lawyer.,Мені потрібен адвокат.
<neutral> I want a lawyer.,Мені потрібний адвокат.
<neutral> I wanted to talk to my lawyer.,Я хотіла поговорити зі своїм адвокатом.
<neutral> I want to ask a doctor.,Я хочу запитати лікаря.
<neutral> I want to be a doctor in the future.,У майбутньому я хочу бути лікарем.
<neutral> I want to be a doctor when I grow up.,"Коли я виросту, я хочу стати лікарем."
<male> I want to be an engineer.,Я хочу бути інженером.
<female> I want to be a nurse.,Я хочу бути медсестрою.
<neutral> I want to be a police officer.,Я хочу бути поліцейським.
<neutral> I want to be a scientist.,Я хочу бути науковцем.
<female> I want to be a teacher.,Я хочу бути вчителем.
<female> I want to become a better teacher.,Я хочу стати кращим учителем.
<male> I want to become a carpenter.,Я хочу стати столяром.
<neutral> I want to become a doctor.,Я хочу стати лікарем.
<female> I want to become a French teacher.,Я хочу стати вчителем французької.
<female> I want to become a French teacher.,Я хочу стати вчителем французької мови.
<female> I want to become a French teacher.,Я хочу стати вчителькою французької.
<female> I want to become a French teacher.,Я хочу стати вчителькою французької мови.
<neutral> I want to become a lawyer.,Я хочу стати адвокатом.
<male> I want to become an engineer.,Я хочу стати інженером.
<neutral> I want to become a pharmacist.,Я хочу стати аптекарем.
<neutral> I want to become a veterinarian.,Я хочу стати ветеринаром.
<neutral> I want to see the manager right now.,Я хочу бачити керівника просто зараз.
<neutral> I want to see the manager.,Я хочу поговорити з менеджером.
<neutral> I want to see the manager.,Я хочу поговорити з начальником.
<neutral> I want to speak to a lawyer.,Я хочу поговорити з адвокатом.
<neutral> I want to speak to my lawyer.,Я хочу поговорити зі своїм адвокатом.
<neutral> I was a bartender when I was younger.,У молодості я був барменом.
<neutral> I was a chemistry major in college.,Моє спеціалізацією в інституті бала хімія.
<neutral> I was a doctor.,Я був лікарем.
<neutral> I was a janitor a few years ago.,Кілька років тому я був двірником.
<neutral> I was a janitor a few years ago.,Кілька років тому я був прибиральником.
<female> I was an accountant before I became a teacher.,"Я був бухгалтером до того, як став учителем."
<neutral> I was an architect before you were born.,Я був архитектором ще до твого народження.
<female> I was a teacher.,Я була учителем.
<female> I was scolded by my teacher.,Мене налаяв мій учитель.
<neutral> I was told that I should see a doctor.,Мені порадили звернутися до лікаря.
<neutral> I will be a doctor someday.,Колись я стану лікарем.
<female> I will be her teacher.,Я буду її учителем.
<female> I will be his teacher.,Я буду його учителем.
<female> I will be their teacher.,Я буду їхнім учителем.
<female> I will tell the teacher all about it.,Я розкажу вчителю все про це.
<female> I wonder if Tom is a teacher.,"Цікаво, чи Том учитель."
<female> I wonder whether or not I should really become a teacher.,"Я питаю себе, чи мені насправді слід стати вчителем."
<female> I wonder whether or not I should really become a teacher.,"Я питаю себе, чи мені насправді треба стати викладачем."
<neutral> I wonder whether or not Tom has ever considered going to a specialist.,"Мені цікаво, чи Том колись розглядав можливість звернутися до спеціаліста."
<female> I work as a teacher.,Я працюю вчителем.
<female> I would like to be an English teacher.,Я хотів би стати викладачем англійської мови.
<female> I wrote a letter to my teacher.,Я написав листа своєму вчителеві.
<female> I wrote to my teacher in English.,Я написав свому вчителю англійською.
<neutral> Jana is a computer programmer.,Яна — програмістка.
<male> Jesus was a carpenter.,Ісус був теслярем.
<female> John likes the nurse.,Джону медсестра подобається.
<female> John likes the nurse.,Джону подобається ця медсестра.
<female> Karam is a new teacher.,Карам — новий учитель.
<female> Layla was a registered nurse working for a renowned cancer center.,"Лейла була дипломованою медсестрою, яка працювала у знаменитому онкологічному центрі."
<neutral> Layla was our family doctor.,Лейла була лікарем нашої сім'ї.
<female> Let's ask the teacher.,Запитаймо вчителя.
<neutral> Let's send for the doctor.,Викличмо лікаря.
<neutral> Let's send for the doctor.,Давайте викличемо лікаря.
<neutral> Lincoln was a good politician and a smart lawyer.,Лінкольн був гарним політиком і розумним адвокатом.
<female> Listen to what the teacher says.,"Слухайте, що каже вчитель."
"<neutral> Luckily, Tom had a good lawyer.","На щастя, у Тома був добрий адвокат."
<neutral> Many teachers have a problem with Tom.,У багатьох учителів є проблеми з Томом.
<female> Mary is a daughter of a carpenter.,Мері - донька тесляра.
<female> Mary is a librarian.,Мері — бібліотекар.
<female> Mary is an architect.,Мері є архітектором.
<female> Mary is a police officer.,Мері - офіцер поліції.
<female> Mary is a programmer.,Мері — програміст.
<female> Mary is a programmer.,Мері — програмістка.
<female> Mary is a yoga teacher.,Мері інструктор з йоги.
<female> Mary is studying to become a physician's assistant.,Мері вчиться на помічника лікаря.
<female> Mary is Tom's secretary.,Мері — секретарка Тома.
<female> Mary is Tom's secretary.,Мері — секретар Тома.
<female> Mary likes her teachers.,Мері подобаються її вчителі.
<female> Mary's wife is a doctor.,Дружина Мері — лікар.
<female> Mary wanted to be a nurse.,Мері хотіла бути медсестрою.
<female> Mary wants to be a lawyer.,Мері хоче бути адвокатом.
<female> Mary wants to become a teacher.,Мері хоче стати вчителькою.
<female> Mary wants to become a teacher.,Мері хоче стати учителем.
<neutral> Maybe I need a lawyer.,"Можливо, мені потрібний адвокат."
<female> May I speak with the teacher?,Чи можу я поговорити з учителем?
<neutral> Most workers belong to unions.,Більшість робітників є членами профсоюзів.
<neutral> Mr Brown is a doctor.,Пан Браун — лікар.
<female> Mr Brown is our English teacher.,Містер Браун — наш вчитель англійської.
<female> Mr. Brown is our English teacher.,Містер Браун — наш вчитель англійської.
<female> Mr. Jackson is my favorite teacher.,Пан Джексон — мій улюблений учитель.
<female> Mr. Ricardo is a very good teacher.,Пан Рікардо - дуже гарний вчитель.
<female> Mr Smith is a good teacher.,Пан Сміт добрий учитель.
<female> Mr Smith is a good teacher.,Пас Сміт чудовий учитель.
<neutral> Mr Suzuki is a great scientist.,Пан Сузукі - великий науковець.
"<female> Mr Suzuki, our new teacher, teaches us English.","Пан Сузукі, наш новий учитель, викладає англійську."
<female> Mr Tanaka is our teacher of English.,Пан Танака — наш учитель англійської.
<male> My brother became an engineer.,Мій брат став інженером.
<female> My brother is a teacher.,Мій брат вчитель.
<neutral> My doctor recommended I eat more vegetables.,Мій лікар порекомендував мені їсти більше овочів.
<neutral> My doctor recommended that I eat more vegetables.,Мій лікар порекомендував мені їсти більше овочів.
<neutral> My doctor told me to give up smoking.,Мій лікар сказав мені кинути палити.
<neutral> My doctor told me to quit smoking.,Мій лікар сказав мені кинути палити.
<neutral> My dream is to be a doctor.,Моя мрія - стати лікарем.
<neutral> My dream is to be a firefighter.,Моя мрія - бути пожежником.
<neutral> My dream is to become a firefighter.,Моя мрія - бути пожежником.
<female> My dream is to become a teacher.,Моя мрія - стати вчителем.
<neutral> My driving instructor says I should be more patient.,"Мій інструктор з водіння каже, що мені слід бути більш терплячею."
<neutral> My driving instructor says I should be more patient.,"Мій інструктор з водіння каже, що мені слід бути більш терплячим."
<female> My English teacher advised me to read these books.,Мій вчитель англійської порадив мені прочитати ці книжки.
<female> My English teacher has advised me to read these books.,Мій вчитель англійської порадив мені прочитати ці книжки.
<female> My English teacher recommended that I read these books.,Мій вчитель англійської порадив мені прочитати ці книжки.
<male> My father-in-law is a lawyer.,Мій свекор - адвокат.
<male> My father is a doctor.,Мій батько лікар.
<female> My father is a teacher of English.,Мій батько - викладач англійської.
<female> My father is a teacher of English.,Мій батько - викладач англійської мови.
<female> My father is a teacher.,Мій батько — викладач.
<female> My father is a teacher.,Мій батько — вчитель.
<neutral> My father's a doctor.,Мій батько лікар.
<male> My father was an engineer.,Мій батько був інженером.
<female> My first French teacher was Tom.,Моїм першим учителем французької був Том.
<female> My French teacher is the same age as me.,Моя викладачка французької моя ровесниця.
<male> My grandfather is a carpenter.,Мій дід — тесляр.
<male> My husband was a lawyer.,Мій батько був адвокат.
<female> My husband was a teacher.,Мій чоловік був учителем.
<neutral> My lawyer told me that I should plead guilty.,"Мій адвокат сказав мені, що я маю визнати свою провину."
<female> My math teacher hated me.,Мій вчитель математики мене ненавидів.
"<female> My mom is a teacher, too.",Моя мати теж вчителька.
<female> My mother is a high school teacher.,Моя мати — викладач старших класів.
<female> My mother is a high school teacher.,Моя мати — викладач у старших класів.
<female> My mother is a lawyer.,Моя мама — адвокат.
<female> My mother is a teacher.,Моя мати - учитель.
<female> My physics teacher doesn't care if I skip classes.,"Моєму викладачу фізики байдуже, чи я пропускаю заняття."
<female> My physics teacher doesn't care if I skip classes.,"Моєму вчителеві фізики байдуже, чи пропущу я заняття."
<female> My sister is afraid of all doctors.,Моя сестра боїться всіх лікарів.
<female> My sister is a nurse.,Моя сестра медсестра.
<female> My sister married a doctor.,Моя сестра вийшла за лікаря.
<female> My sister married a doctor.,Моя сестра вийшла заміж за лікаря.
<female> My sister married a doctor.,Моя сестра одружилася з лікарем.
<female> My sister's a nurse.,Моя сестра медсестра.
<female> My sister works in a bank as a secretary.,Моя сестра працює в банку секретаркою.
<female> My teacher drove me home.,Мій вчитель підвіз мене до дому.
<female> My teacher recommended me to read Shakespeare.,Мій вчитель порадив мені почитати Шекспіра.
<female> My teacher says I shouldn't do that.,"Мій учитель каже, що мені не слід цього робити."
<female> My wife is a doctor.,Моя дружина - лікар.
<female> My wife is a lawyer.,Моя дружина - адвокат.
<neutral> My wish is to be a painter.,Я сподіваюся стати художником.
<female> Never argue with a teacher before an exam.,Ніколи не сперечайся з викладачем перед екзаменом.
<female> Never argue with a teacher before an exam.,Ніколи не сперечайтеся з учителем перед екзаменом.
<neutral> Not all doctors make a lot of money.,Не всі лікарі заробляють багато.
<neutral> Our best friend is a doctor.,Наша найкраща подруга — лікар.
<neutral> Our best friend is a doctor.,Наш найкращий друг — лікар.
"<female> Our French teacher is Canadian, isn't he?","Наш викладач французької канадієць, чи не так?"
<neutral> Our manager is Tom Jackson.,Наш керівник — Том Джексон.
<neutral> Our manager's name is Tom Jackson.,Нашого начальника звуть Том Джексон.
<female> Our new English teacher is fresh from college.,Наш новий учитель англійської недавно закінчив коледж.
<female> Our teacher has a wonderful sense of humor.,Наш вчитель має чудове почуття гумору.
<female> Our teacher is a fucking whore.,Наша вчителька — йобана курва.
<female> Our teacher is punctual for the classes.,Наш учитель вчасно приходить на заняття.
<female> Our teacher said that water boils at 100ºC.,"Вчитель сказав, що вода кипить при температурі 100ºC."
<female> Our teacher seldom laughs.,Наш вчитель рідко сміється.
<female> Our teacher separated us into two groups.,Вчитель розділив нас на дві групи.
<female> Our teacher sometimes speaks quickly.,Наш вчитель іноді швидко говорить.
<female> Our teacher told us what to read.,"Наш учитель сказав нам, що читати."
<female> Our teacher will return from abroad in August.,Наш вчитель повернеться із-за кордону в серпні.
"<neutral> Pathological demand avoidance is not an official diagnosis, but a profile used by educators to describe those whose main characteristic is to avoid everyday demands and expectations to an extreme extent.","Патологічне уникнення вимог — це не офіційний діагноз, а профіль, який використовується в освітніх закладах для опису тих, чиєю основною характеристикою є надзвичайно підкреслене уникнення щоденних вимог і очікувань."
<neutral> Pay the cashier on the way out.,Платити - на касі при виході.
<male> Peppa Pig's father is an engineer.,Батько свинки Пеппи — інженер.
<neutral> Please call in a doctor.,"Викличте лікаря, будь ласка."
<female> Please tell me about your teacher.,"Розкажи мені про свого вчителя, будь ласка."
"<female> Please, tell me about your teacher.","Розкажи мені про свого вчителя, будь ласка."
<female> Please tell me about your teacher.,"Розкажіть мені про свого вчителя, будь ласка."
"<female> Please, tell me about your teacher.","Розкажіть мені про свого вчителя, будь ласка."
<female> Practice is the best teacher.,Практика — найкрайщий вчитель.
<neutral> Radioactivity' is a chemistry term.,"""Радіоактивність"" - хімічний термін."
<neutral> Sami is a doctor.,Самі - лікар.
<female> Sami is a good teacher.,Самі добрий викладач.
<female> Sami is a good teacher.,Самі добрий учитель.
<neutral> Sami needs to go to the eye doctor.,Самі потрібно до окуліста.
<neutral> Sami needs to go to the eye doctor.,Самі потрібно сходити до окуліста.
<neutral> Sami told the doctor about that.,Семі розповів про це лікарю.
<neutral> Sami was a manager at Walmart.,"Самі був менеджером у ""Волмарті""."
<neutral> Scientists have found water on Mars.,Вчені знайшли воду на Марсі.
<female> She advised him to become a teacher.,Вона порадила йому стати вчителем.
<female> She and I are teachers.,Ми з нею вчителі.
<female> She became a doctor.,Вона стала лікарем.
<female> She became a nurse.,Вона стала медсестрою.
<female> She decided to be a doctor.,Вона вирішила стати лікарем.
<female> She fell in love with the new teacher.,Вона закохалась у нового вчителя.
<female> She had a good lawyer.,У неї був добрий адвокат.
<female> She had been ill for a week when the doctor was sent for.,"Поки послали по лікаря, то вона вже тиждень як була хвора."
<female> She hired a private investigator.,Вона найняла приватного детектива.
<female> She is a doctor.,Вона лікар.
<female> She is a nurse.,Вона медсестра.
<female> She is a teacher's pet.,Вона улюбленець учителя.
<female> She is a teacher.,Вона вчителька.
<female> She is a very good teacher.,Вона - дуже добра вчителька.
"<female> She is not a nurse, but a doctor.","Вона не медсестра, а лікар."
<female> She is not a physician.,Вона не лікар.
<female> She looks like a teacher.,Вона схожа на вчителя.
<female> She married a doctor.,Вона вийшла за лікаря.
<female> She married a doctor.,Вона вийшла заміж за лікаря.
<female> She needs a doctor.,Вона потребує лікаря.
<female> She needs a doctor.,Їй потрібен лікар.
<female> She needs a lawyer.,Їй потрібен адвокат.
<female> She respects her teacher a lot.,Вона дуже поважає свого учителя.
<neutral> She's a doctor.,Вона лікар.
<neutral> She's a police officer.,Вона офіцер поліції.
<neutral> She's a programmer.,Вона програміст.
<female> She's a very good teacher.,Вона - дуже добра вчителька.
<neutral> She's not a doctor.,Вона не лікар.
<female> She thought that I was a doctor.,"Вона думала, що я лікар."
<female> She thought that I was the doctor.,"Вона думала, що я лікар."
<female> She tried to take down every word the teacher said.,Вона намагалася записати кожне слово вчителя.
<female> She wants to marry her daughter to a doctor.,Вона хоче одружити свою доньку з лікарем.
<female> She went to the hairdresser's.,Вона пішла до перукарні.
<female> She will be a teacher.,Вона стане вчителькою.
<female> She works as a secretary in an office.,Вона працює секретарем в офісі.
<neutral> Should I call the doctor?,Зателефонувати лікарю?
<neutral> Some students in this university don't even know how to talk to teachers.,Деякі студенти в цьому університеті навіть не знають як говорити з учителями.
<neutral> Students are open to the influence of their teachers.,Студенти відкриті до впливу з боку їхніх вчителів.
<neutral> Teachers' salaries are very low.,Зарплатні вчителей дуже низькі.
<neutral> Tell the police officer what you saw Tom do.,"Розскажи поліцейському, що ти бачив як робив Том?"
"<neutral> Thank you very much, doctor.","Дуже дякую, лікарю."
"<neutral> Thank you very much, doctor.","Дуже дякую, пане лікарю."
<neutral> That person is a programmer.,Ця особа — програміст.
<neutral> That's just what the doctor ordered.,"Це те, що лікар прописав."
<neutral> The architect achieved worldwide fame.,Архітектор здобувся всесвітньої відомості.
<neutral> The architect adapted the house to the needs of old people.,Архітектор пристосував будинок під потреби похилих людей.
<neutral> The baker's is next door to the butcher's.,Пекар знаходиться біля різника.
<neutral> The bakery is on Pino Street.,Булочна знаходиться на вулиці Пено.
<neutral> The best hairdressers are gay.,Найкращі перукарі — ґеї.
<neutral> The building was built by a Russian architect.,Будинок побудовано російським архитектором.
<female> The classroom erupted in laughter when the teacher told Tom to stop masticating in class.,"Клас вибухнув від сміху, коли вчитель сказав Тому припинити жувати на уроці."
<female> The classroom erupted in laughter when the teacher told Tom to stop masticating in class.,"Клас вибухнув від сміху, коли вчитель сказав Тому, що той — мудрак."
<neutral> The company's managers had a very lackadaisical attitude towards the safety of their workers.,Керівництво компанії мала дуже апатичну позицію по відношенню до безпеки своїх працівників.
<neutral> The criminal got very tired from the fight with the two officers.,Злочинець дуже втомився від бійки з двома поліцейськими.
<female> The doctor advised her to enter the hospital.,Лікар порадив їй лягти у лікарню.
<male> The doctor advised him to cut down on drinking.,Лікар порадив йому менше пити.
<male> The doctor advised him to give up smoking.,Лікар порадив йому кинути палити.
<male> The doctor advised him to stop working too much.,Лікар порадив йому працювати менше.
<female> The doctor advised that she stay at home.,Лікар порадив їй залишатися вдома.
<neutral> The doctor examined my throat.,Лікар оглянув моє горло.
<neutral> The doctor examined the patients.,Лікар оглянув пацієнтів.
<neutral> The doctor felt my pulse.,Лікар поміряв мій пульс.
<neutral> The doctor felt my pulse.,Лікар пощупав мій пульс.
<female> The doctor gave it to her.,Лікар дав її їй.
<female> The doctor gave it to her.,Лікар дав його їй.
<neutral> The doctor has ordered the patient to abstain from wine.,Лікар наказав пацієнтові утриматись від уживання вина.
<male> The doctor is a man of culture.,Лікар був культурною людиною.
<neutral> The doctor is concerned.,Лікар занепокоєний.
<male> The doctor persuaded him to give up smoking.,Лікар переконав його кинути палити.
<neutral> The doctor ran a few tests.,Лікар зробив кілька аналізів.
<neutral> The doctor said that what Tom has isn't contagious.,"Лікар сказав, що хвороба Тома незаразна."
<neutral> The doctors did what they could.,"Лікарі зробили, що змогли."
<female> The doctor started to examine her.,Лікар розпочав її оглядати.
<female> The doctor told Mary that she couldn't have children.,"Лікар сказа Мері, що вона не може мати дітей."
<neutral> The doctor told me to give up smoking.,Лікар сказав мені кинути палити.
<male> The doctor told Tom he needed to eat a more balanced diet.,"Лікар повідомив Тому, що він потребує більш збалансованої дієти."
<neutral> The doctor told Tom to give up smoking.,Лікар сказав Томові кинути палити.
<neutral> The doctor told Tom to give up smoking.,Лікар сказав Тому кинути палити.
<neutral> The doctor took my pulse.,Лікар поміряв мій пульс.
<neutral> The Doctor travels through all space and time.,Доктор подорожує у просторі й часі.
<neutral> The farmer employed five new workers.,Фермер взяв на роботу п'ять нових працівників.
<neutral> The farmer employed five new workers.,Фермер найняв п’ятеро нових робітників.
<female> The girl who works at the bakery is cute.,"Дівчина, що працює у хлібному - симпатична."
<neutral> The inspector arrived at the school late on Monday morning.,Ревізор прибув у школу пізно вранці в понеділок.
<neutral> The instructor advised me to get exercise every day.,Інструктор порадив мені виконувати завдання щодня.
<neutral> The lawyer has a lot of wealthy clients.,У адвоката чимало багатих клієнтів.
<neutral> The lawyer has a lot of wealthy clients.,У адвоката чимало заможних клієнтів.
<female> The lawyer is her brother.,Адвокат — її брат.
<neutral> The lawyer was expecting Ben.,Юрист чекав на Бена.
<male> The leader of the party is a famous scientist.,Лідер партії - відомий вчений.
<neutral> The manager stood at the door.,Керівник стояв у дверях.
<neutral> The murder of Fadil Sadiq puzzled the investigators.,Убивство Фадля Садика спантеличило слідчих.
<female> The new secretary types faster than the old one.,Нова секретартка пише швидше від попередньої.
<female> The new teacher was a disappointment to the class.,Новий вчитель був розчаруванням для класу.
<female> The nurse is not here.,Медсестри тут немає.
<female> The nurse looked after the babies.,Медсестра доглядала за немовлятами.
<female> The nurse will tell you how to do it.,"Медсестра пояснить тобі, як це робиться."
<female> The nurse will tell you how to do it.,"Медсестра скаже тобі, як це зробити."
<female> The old woman is a doctor.,Похила жiнка - лiкар.
<female> The old woman is a doctor.,Ця стара жінка - лікар.
<neutral> The painter died young.,Художник помер молодим.
<neutral> The pharmacist died of an overdose.,Аптекар помер від передозування.
<neutral> The photo was doctored.,Фотографію було змонтовано.
<neutral> The police officer fired a warning shot.,Поліцейський зробив попереджувальний постріл.
<neutral> The police officers have stopped me many times.,Поліцейські багаторазово затримували мене.
<female> The pupils stand up when their teacher enters.,Учні встають коли заходить вчитель.
<neutral> There are no empty seats in the auditorium.,В лекторії немає вільних місць.
<female> There was no doctor who could cure her illness.,"Не було лікаря, який би міг вилікувати її хворобу."
<female> The school needed a new teacher.,Школа потребувала нового вчителя.
<neutral> The scientist is famous not only in Japan but also in foreign countries.,"Учений відомий не тільки в Японії, але й у інших країнах."
<female> The secretary is tired of typing.,Секретарка втомилася друкувати.
<neutral> These social workers hand out free syringes to drug users.,"Ці працівники соціальних служб роздають безкоштовні шприці тим, хто споживає наркотики."
<female> The soldier became a teacher.,Той солдат став вчителем.
<male> The speech therapist at Tom's school helped him overcome his articulation problems.,Шкільний логопед Тома допоміг йому подолати проблеми з артикуляцією.
<female> The students bothered the teacher with silly questions.,Учні набридали вчителю своїми глупими питаннями.
<female> The students loved their teacher.,Учні любили свого вчителя.
<female> The students loved their teacher.,Учні любили свою вчительку.
<neutral> The surgeon forgot something inside the patient.,Хірург забув щось всередині пацієнта.
<female> The teacher apologized to the students.,Учитель вибачився перед учнями.
<female> The teacher asked me which book I liked.,"Вчитель запитав мене, яку я люблю книжку."
<female> The teacher asked the students to split off into groups of two or three.,Вчитель попросив студентів розбитися на групи по два-три учні.
<female> The teacher cannot have said such a thing.,Вчитель такого не міг би сказати.
<female> The teacher corrected the composition that I had prepared.,"Учитель виправив твір, що я відготував."
<female> The teacher gave us a lot of homework.,Вчитель дав нам багато домашнього завдання.
<female> The teacher gave us homework.,Вчитель дав нам домашнє завдання.
<female> The teacher handed out the tests.,Вчитель роздав тести.
<female> The teacher has three times as many books as I do.,"У вчителя втричі більше книг, ніж у мене."
<female> The teacher intervened in the quarrel between the two students.,Учитель утрутився в лайку між двома учнями.
<female> The teacher intervened in the quarrel between the two students.,Учитель утрутився у сварку між двома учнями.
"<female> The teacher is angry, so please do not make noise in the classroom!","Ну шуміть у класі, будь ласка, бо вчитель дуже злий!"
<female> The teacher is attractive.,Учителька приваблива.
<female> The teacher is attractive.,Учитель привабливий.
<female> The teacher liked me.,Я сподобався вчителю.
<female> The teacher liked me.,Я сподобалася вчителю.
<female> The teacher made fun of Tom.,Учитель насміхався над Томом.
<female> The teacher made me repeat the sentence.,Вчитель примусив мене повторити речення.
<female> The teacher permitted the boy to go home.,Вчитель відпустив хлопця додому.
<female> The teacher permitted the boy to go home.,Вчитель дозволив хлопцю йти додому.
<female> The teacher pointed out the pupil's mistakes.,Вчитель вказав учню на його помилки.
<female> The teacher praised the boy for his honesty.,Вчитель похвалив хлопчика за чесність.
<female> The teacher sat on the chair.,Учитель сидів на стільці.
<female> The teacher saw me naked.,Вчитель бачив мене голим.
<female> The teacher saw me naked.,Вчитель бачив мене голою.
